Time,Joint,ProximitySensor
1702214297038,-0.74,1.0
1702214297084,0.0,1.0
1702214297084,-1.46,1.0
1702214297085,-0.86,1.0
1702214297131,0.0,1.0
1702214297131,-1.33,1.0
1702214297131,-0.99,1.0
1702214297177,0.0,1.0
1702214297177,-1.2,1.0
1702214297177,-1.12,1.0
1702214297224,0.0,1.0
1702214297224,-1.07,1.0
1702214297224,-1.25,1.0
1702214297271,0.0,1.0
1702214297271,-0.95,1.0
1702214297272,-1.37,1.0
1702214297317,0.0,1.0
1702214297317,-0.82,1.0
1702214297317,-1.5,1.0
1702214297364,0.0,1.0
1702214297364,-0.7,1.0
1702214297364,-1.56,1.0
1702214297410,0.0,1.0
1702214297410,-0.57,1.0
1702214297410,-1.57,1.0
1702214297472,0.0,1.0
1702214297472,-0.45,1.0
1702214297473,-1.57,1.0
1702214297518,0.0,1.0
1702214297518,-0.19,1.0
1702214297518,-1.57,1.0
1702214297563,0.0,1.0
1702214297563,-0.19,1.0
1702214297563,-1.57,1.0
1702214297610,0.0,1.0
1702214297610,0.06,1.0
1702214297610,-1.57,1.0
1702214297657,0.0,1.0
1702214297657,0.06,1.0
1702214297658,-1.57,1.0
1702214297703,0.0,1.0
1702214297703,0.19,1.0
1702214297704,-1.57,1.0
1702214297766,0.0,1.0
1702214297766,0.44,1.0
1702214297766,-1.57,1.0
1702214297813,0.0,1.0
1702214297814,0.57,1.0
1702214297814,-1.57,1.0
1702214297866,0.0,1.0
1702214297866,0.57,1.0
1702214297867,-1.57,1.0
1702214297902,0.0,1.0
1702214297902,0.69,1.0
1702214297902,-1.44,1.0
1702214297922,0.0,1.0
1702214297922,0.95,1.0
1702214297922,-1.18,1.0
1702214297943,0.0,1.0
1702214297943,0.95,1.0
1702214297943,-1.18,1.0
1702214297964,0.0,1.0
1702214297964,1.08,1.0
1702214297965,-1.04,1.0
1702214297992,0.0,1.0
1702214297992,1.21,1.0
1702214297992,-0.91,1.0
1702214298013,0.0,1.0
1702214298013,1.47,1.0
1702214298013,-0.65,1.0
1702214298040,0.0,1.0
1702214298040,1.56,1.0
1702214298040,-0.53,1.0
1702214298061,0.0,1.0
1702214298061,1.57,1.0
1702214298062,-0.4,1.0
1702214298082,0.0,1.0
1702214298082,1.57,1.0
1702214298082,-0.4,1.0
1702214298103,0.0,1.0
1702214298103,1.57,1.0
1702214298103,-0.27,1.0
1702214298124,0.0,1.0
1702214298124,1.57,1.0
1702214298124,-0.14,1.0
1702214298145,0.0,1.0
1702214298146,1.57,1.0
1702214298146,0.11,1.0
1702214298173,0.0,1.0
1702214298173,1.57,1.0
1702214298173,0.11,1.0
1702214298193,0.0,1.0
1702214298194,1.57,1.0
1702214298194,0.24,1.0
1702214298227,0.0,1.0
1702214298227,1.58,1.0
1702214298228,0.37,1.0
1702214298277,0.0,1.0
1702214298277,1.57,1.0
1702214298277,0.5,1.0
1702214298312,0.0,1.0
1702214298312,1.58,1.0
1702214298312,0.63,1.0
1702214298359,0.0,1.0
1702214298360,1.58,1.0
1702214298360,0.76,1.0
1702214298414,0.0,1.0
1702214298414,1.47,1.0
1702214298415,0.88,1.0
1702214298451,0.0,1.0
1702214298451,1.35,1.0
1702214298451,1.01,1.0
1702214298471,0.0,1.0
1702214298472,1.22,1.0
1702214298472,1.14,1.0
1702214298492,0.0,1.0
1702214298492,1.1,1.0
1702214298492,1.27,1.0
1702214298513,0.0,1.0
1702214298513,0.85,1.0
1702214298514,1.51,1.0
1702214298541,0.0,1.0
