TopPosition,BottomPosition
-7.412644,0.48021123
6.45297,-13.376539
20.280293,-27.153915
33.987278,-40.770164
47.492584,-54.14449
60.71608,-67.19753
73.57929,-79.85183
86.0059,-92.0323
97.92216,-103.66667
109.25736,-114.6859
119.94425,-125.02459
129.9194,-134.6214
139.12364,-143.4194
147.50235,-151.36638
155.00578,-158.41516
161.58945,-164.52393
167.21426,-169.65643
171.84685,-173.78224
175.45973,-176.87683
178.03145,-178.92188
179.54677,-179.90521
179.99669,-179.82103
179.37852,-178.66982
177.69597,-176.4584
174.95897,-173.1999
171.1838,-168.91368
166.39287,-163.62514
160.61458,-157.36566
153.88322,-150.17241
146.23874,-142.08806
137.7265,-133.16057
128.39702,-123.44294
118.30565,-112.99281
107.51228,-101.87221
96.08094,-90.1471
84.079475,-77.887085
71.579094,-65.164894
58.65397,-52.05602
45.38081,-38.63826
31.83836,-24.991222
18.106987,-11.195893
4.2681713,2.665872
-9.595972,16.511818
-23.403173,30.259787
-37.071503,43.828197
-50.51986,57.136536
-63.668434,70.10584
-76.43922,82.65914
-88.75642,94.72196
-100.54695,106.22271
-111.74085,117.093155
-122.2717,127.26878
-132.07701,136.68921
-141.09859,145.29855
-149.28293,153.04573
-156.58142,159.88474
-162.9508,165.77502
-168.35324,170.68163
-172.75671,174.57542
-176.13506,177.43332
-178.46826,179.23836
-179.74245,179.97981
-179.95009,179.6533
-179.08992,178.26077
-177.16707,175.81046
-174.19292,172.3169
-170.18515,167.80084
-165.16751,162.28908
-159.16982,155.81433
-152.22762,148.415
-144.38213,140.135
-135.67989,131.02345
-126.172554,121.13443
-115.916534,110.52662
-104.97268,99.26296
-93.40593,87.410286
-81.28493,75.03895
-68.68159,62.22232
-55.67071,49.036488
-42.329487,35.559677
-28.73709,21.871859
-14.974167,8.054257
-1.1223907,-5.8111367
12.736045,-19.642048
26.518908,-33.356407
40.14441,-46.872833
53.531704,-60.111122
66.60135,-72.99272
79.27579,-85.4412
91.47982,-97.382675
103.14102,-108.7463
114.1902,-119.46464
124.56179,-129.47409
134.19426,-138.71527
143.03043,-147.13333
151.01788,-154.67831
158.10922,-161.30548
164.26236,-166.97548
169.4408,-171.65466
173.61378,-175.31529
176.75659,-177.93561
178.85056,-179.50008
179.88324,-179.99944
179.84851,-179.4307
178.74661,-177.79726
176.58403,-175.10878
173.37366,-171.38124
169.13449,-166.63675
163.89171,-160.90347
157.67642,-154.2154
150.52551,-146.61224
142.4814,-138.13911
